DATE,LMUNRRTTCHM156S
1999-01-01,3.16503975
1999-02-01,3.09476045
1999-03-01,3.01045653
1999-04-01,2.90615895
1999-05-01,2.81856615
1999-06-01,2.73502234
1999-07-01,2.67806859
1999-08-01,2.60104417
1999-09-01,2.53592305
1999-10-01,2.44510397
1999-11-01,2.36638605
1999-12-01,2.31225821
2000-01-01,2.06054179
2000-02-01,1.99786565
2000-03-01,1.94104037
2000-04-01,1.8985904
2000-05-01,1.85502302
2000-06-01,1.8392862
2000-07-01,1.82748322
2000-08-01,1.78485481
2000-09-01,1.75066186
2000-10-01,1.70089206
2000-11-01,1.64468497
2000-12-01,1.58431629
2001-01-01,1.54237447
2001-02-01,1.5192786
2001-03-01,1.53848624
2001-04-01,1.57742092
2001-05-01,1.63616498
2001-06-01,1.67057226
2001-07-01,1.70883361
2001-08-01,1.71745137
2001-09-01,1.74558369
2001-10-01,1.8316782
2001-11-01,1.94102511
2001-12-01,1.99880117
2002-01-01,2.08228511
2002-02-01,2.14481067
2002-03-01,2.21481871
2002-04-01,2.31148123
2002-05-01,2.3953361
2002-06-01,2.47667007
2002-07-01,2.54971209
2002-08-01,2.60975723
2002-09-01,2.74820046
2002-10-01,2.88768531
2002-11-01,3.02543456
2002-12-01,3.1069012
2003-01-01,3.22418238
2003-02-01,3.34732207
2003-03-01,3.46412058
2003-04-01,3.56861605
2003-05-01,3.66021
2003-06-01,3.75049982
2003-07-01,3.79737697
2003-08-01,3.80431935
2003-09-01,3.8769854
2003-10-01,3.92116164
2003-11-01,3.93411086
2003-12-01,3.93993197
2004-01-01,3.96094853
2004-02-01,3.9523093
2004-03-01,3.94299112
2004-04-01,3.91133094
2004-05-01,3.87486088
2004-06-01,3.85626546
2004-07-01,3.84200994
2004-08-01,3.85663547
2004-09-01,3.86106936
2004-10-01,3.8295849
2004-11-01,3.82691109
2004-12-01,3.82437872
2005-01-01,3.80296633
2005-02-01,3.81196921
2005-03-01,3.81115605
2005-04-01,3.80111335
2005-05-01,3.79349839
2005-06-01,3.78090621
2005-07-01,3.76282902
2005-08-01,3.76226232
2005-09-01,3.76253485
2005-10-01,3.72817288
2005-11-01,3.68540391
2005-12-01,3.65248324
2006-01-01,3.6054397
2006-02-01,3.55128279
2006-03-01,3.49539698
2006-04-01,3.43839073
2006-05-01,3.39287804
2006-06-01,3.33644375
2006-07-01,3.30014688
2006-08-01,3.27284538
2006-09-01,3.2311362
2006-10-01,3.1888235
2006-11-01,3.11492452
2006-12-01,3.06055907
2007-01-01,3.01869531
2007-02-01,2.95063905
2007-03-01,2.85309138
2007-04-01,2.84082619
2007-05-01,2.80307837
2007-06-01,2.75594212
2007-07-01,2.74267192
2007-08-01,2.70918897
2007-09-01,2.6705118
2007-10-01,2.66876525
2007-11-01,2.62996643
2007-12-01,2.55612324
2008-01-01,2.52889558
2008-02-01,2.49171547
2008-03-01,2.49251347
2008-04-01,2.53790861
2008-05-01,2.52438705
2008-06-01,2.54867034
2008-07-01,2.55186236
2008-08-01,2.54342134
2008-09-01,2.58407199
2008-10-01,2.63531979
2008-11-01,2.70318364
2008-12-01,2.79037584
2009-01-01,2.93959513
2009-02-01,3.08842863
2009-03-01,3.27532062
2009-04-01,3.44645422
2009-05-01,3.54038418
2009-06-01,3.7885975
2009-07-01,3.90619933
2009-08-01,3.98826996
2009-09-01,4.07403288
2009-10-01,4.10301479
2009-11-01,4.12966238
2009-12-01,4.1417877
2010-01-01,3.7668337
2010-02-01,3.74786072
2010-03-01,3.71362328
2010-04-01,3.65573784
2010-05-01,3.60591621
2010-06-01,3.56356559
2010-07-01,3.50362367
2010-08-01,3.46400335
2010-09-01,3.39521868
2010-10-01,3.31633845
2010-11-01,3.25308723
2010-12-01,3.20894329
2011-01-01,3.12841726
2011-02-01,3.0513012
2011-03-01,2.99388404
2011-04-01,2.84733194
2011-05-01,2.77058521
2011-06-01,2.78106443
2011-07-01,2.74348537
2011-08-01,2.74857402
2011-09-01,2.7363568
2011-10-01,2.75934621
2011-11-01,2.7773698
2011-12-01,2.7810629
2012-01-01,2.78025417
2012-02-01,2.80919473
2012-03-01,2.79714788
2012-04-01,2.8440342
2012-05-01,2.87283427
2012-06-01,2.88943493
2012-07-01,2.91121373
2012-08-01,2.94189631
2012-09-01,2.94720025
2012-10-01,3.00080427
2012-11-01,3.03029928
2012-12-01,3.04357517
2013-01-01,3.09107813
2013-02-01,3.10258658
2013-03-01,3.0894455
2013-04-01,3.13913154
2013-05-01,3.16372821
2013-06-01,3.15979301
2013-07-01,3.19575677
2013-08-01,3.1789393
2013-09-01,3.19573077
2013-10-01,3.18568355
2013-11-01,3.19493913
2013-12-01,3.20613618
2014-01-01,3.08085876
2014-02-01,3.05626636
2014-03-01,3.05747313
2014-04-01,3.04855121
2014-05-01,3.02324564
2014-06-01,3.04344135
2014-07-01,3.04282452
2014-08-01,3.02462019
2014-09-01,3.04921398
2014-10-01,3.04416005
2014-11-01,3.02120564
2014-12-01,3.03690099
2015-01-01,3.02337746
2015-02-01,3.06985601
2015-03-01,3.10831299
2015-04-01,3.14014858
2015-05-01,3.15957485
2015-06-01,3.19167979
2015-07-01,3.19325025
2015-08-01,3.21180144
2015-09-01,3.23137462
2015-10-01,3.24312906
2015-11-01,3.28404201
2015-12-01,3.28653569
2016-01-01,3.30030943
2016-02-01,3.32419398
2016-03-01,3.33737526
2016-04-01,3.32853991
2016-05-01,3.34907076
2016-06-01,3.32265034
2016-07-01,3.31778559
2016-08-01,3.33834869
2016-09-01,3.33095474
2016-10-01,3.31745519
2016-11-01,3.31216646
2016-12-01,3.30256919
2017-01-01,3.21267423
2017-02-01,3.18421863
2017-03-01,3.17093836
2017-04-01,3.15801064
2017-05-01,3.13705332
2017-06-01,3.10074758
2017-07-01,3.09933174
2017-08-01,3.07292666
2017-09-01,3.02483505
2017-10-01,3.00852347
2017-11-01,2.95934324
2017-12-01,2.93057488
2018-01-01,2.88068096
2018-02-01,2.83913082
2018-03-01,2.69943452
2018-04-01,2.58294914
2018-05-01,2.47766837
2018-06-01,2.51512445
2018-07-01,2.49450767
2018-08-01,2.47112542
2018-09-01,2.45461312
2018-10-01,2.42166896
2018-11-01,2.38911271
2018-12-01,2.35587249
2019-01-01,2.33856383
2019-02-01,2.3097868
2019-03-01,2.30743825
2019-04-01,2.30783524
2019-05-01,2.29685604
2019-06-01,2.30840841
2019-07-01,2.30643791
2019-08-01,2.28733897
2019-09-01,2.29538479
2019-10-01,2.30816644
2019-11-01,2.31071671
2019-12-01,2.31577648
2020-01-01,2.28020654
2020-02-01,2.27295278
2020-03-01,2.80466603
2020-04-01,3.29362858
2020-05-01,3.4660929
2020-06-01,3.44642643
2020-07-01,3.40712076
2020-08-01,3.39745591
2020-09-01,3.36547269
2020-10-01,3.33960289
2020-11-01,3.33256793
2020-12-01,3.3244173
2021-01-01,3.33823321
2021-02-01,3.35267367
2021-03-01,3.28083595
2021-04-01,3.24057046
2021-05-01,3.17532867
2021-06-01,3.04258322
2021-07-01,2.95960096
2021-08-01,2.86165839
2021-09-01,2.75796174
2021-10-01,2.64810765
2021-11-01,2.54093157
2021-12-01,2.43088191
2022-01-01,2.31883647
2022-02-01,2.2727207
2022-03-01,2.23032166
